production_date,Time,Finalizações por jogo,Escanteios por partida,Cartões amarelos por partida
20250507,psg,19.1,6.6,0.9
20250507,psg,19.1,6.6,0.9
20250509,psg,18.9,6.5,1.2
20250514,psg,18.6,6.4,1.2
20250515,psg,18.6,6.4,1.2
20250517,psg,18.7,6.4,1.2
20250518,psg,18.7,6.4,1.2
20250520,psg,18.7,6.4,1.2
20250520,psg,18.7,6.4,1.2
20250520,psg,18.7,6.4,1.2
20250520,psg,18.7,6.4,1.2
20250520,psg,18.7,6.4,1.2
20250520,psg,18.7,6.4,1.2
20250520,psg,18.7,6.4,1.2
20250520,psg,18.7,6.4,1.2
20250521,psg,18.7,6.4,1.2
20250603,psg,18.9,6.2,1.1
20250608,psg,18.9,6.2,1.1
20250609,psg,18.9,6.2,1.1
20250609,psg,18.9,6.2,1.1
20250610,psg,18.9,6.2,1.1
20250611,psg,18.9,6.2,1.1
20250612,psg,18.9,6.2,1.1
20250613,psg,18.9,6.2,1.1
20250614,psg,18.9,6.2,1.1
20250615,psg,18.9,6.2,1.1
20250616,psg,16,4,2
20250617,psg,16,4,2
20250618,psg,16,4,2
20250621,psg,16,7,1
20250622,psg,16,7,1
20250623,psg,15.7,7,1
20250625,psg,15.7,7,1
20250627,psg,15.7,7,1
20250628,psg,15.7,7,1
20250629,psg,16.5,7,0.8
20250630,psg,16.5,7,0.8
20250701,psg,16.5,7,0.8
20250702,psg,16.5,7,0.8
20250706,psg,15.4,5.6,0.8
20250707,psg,15.4,5.6,0.8
20250708,psg,15.4,5.6,0.8
20250709,psg,15.7,5.2,0.8
20250710,psg,15.7,5.2,0.8
20250711,psg,15.7,5.2,0.8
20250712,psg,15.7,5.2,0.8
20250714,psg,14.6,5.1,1
20250715,psg,14.6,5.1,1
20250716,psg,14.6,5.1,1
20250717,psg,14.6,5.1,1
20250719,psg,14.6,5.1,1
20250720,psg,14.6,5.1,1
20250721,psg,14.6,5.1,1
20250724,psg,14.6,5.1,1
20250725,psg,14.6,5.1,1
20250729,psg,14.6,5.1,1
20250731,psg,14.6,5.1,1
20250802,psg,14.6,5.1,1
20250803,psg,14.6,5.1,1
20250804,psg,14.6,5.1,1
20250805,psg,14.6,5.1,1
20250808,psg,14.6,5.1,1
20250809,psg,14.6,5.1,1
20250810,psg,14.6,5.1,1
20250811,psg,14.6,5.1,1
20250812,psg,14.6,5.1,1
20250813,psg,14.6,5.1,1
20250818,psg,18,7,1
20250819,psg,18,7,1
20250822,psg,19.5,9.5,0.5
20250825,psg,19.5,9.5,0.5
20250828,psg,19.5,9.5,0.5
20250914,psg,N/A,N/A,N/A
20250915,psg,N/A,N/A,N/A
20250920,psg,N/A,N/A,N/A
20250922,psg,N/A,N/A,N/A
20250923,psg,N/A,N/A,N/A
20250925,psg,N/A,N/A,N/A
20250926,psg,N/A,N/A,N/A
20251005,psg,N/A,N/A,N/A
20251006,psg,N/A,N/A,N/A
20251011,psg,N/A,N/A,N/A
